Gene Entrez ID,Gene Symbol,Gene Name,Gene Description,PICR Ensembl ID,CHOK1GS Ensembl ID,Transcript ID,Protein ID,GO Terms,Uniprot ID,Human Entrez ID,Human Gene Name,system
100765307,Slc25a17,solute carrier family 25 member 17,,ENSCGRG00015005176,,XM_003513960,XP_003514008,,G3IGY2,10478,SLC25A17,Nucleotide Metabolism
100689301,Neu2,neuraminidase 2,"This gene belongs to a family of glycohydrolytic enzymes which remove sialic acid residues from glycoproteins and glycolipids. Expression studies in COS7 cells confirmed that this gene encodes a functional sialidase. Its cytosolic localization was demonstrated by cell fractionation experiments. [provided by RefSeq, Jul 2008]",ENSCGRG00015011378,ENSCGRG00001023529,NM_001246735,NP_001233664,"['GO:0052794', 'GO:0052796', 'GO:0006689', 'GO:0009313', 'GO:0005829', 'GO:0006516', 'GO:0004308', 'GO:0051692', 'GO:1902494', 'GO:0004308', 'GO:0016787', 'GO:0005975', 'GO:0016798', 'GO:0008152', 'GO:0005737', 'GO:0016042', 'GO:0006629', 'GO:0004308', 'GO:0052794', 'GO:0052794', 'GO:0052795', 'GO:0052796', 'GO:0006689', 'GO:0009313']",Q64393,4759,NEU2,Lipid Metabolism
100689207,Fasn,fatty acid synthase,"The enzyme encoded by this gene is a multifunctional protein. Its main function is to catalyze the synthesis of palmitate from acetyl-CoA and malonyl-CoA, in the presence of NADPH, into long-chain saturated fatty acids. In some cancer cell lines, this protein has been found to be fused with estrogen receptor-alpha (ER-alpha), in which the N-terminus of FAS is fused in-frame with the C-terminus of ER-alpha. [provided by RefSeq, Jul 2008]",ENSCGRG00015024634,ENSCGRG00001018442,XM_003496909,XP_003496957,"['GO:0016740', 'GO:0016787', 'GO:0016829', 'GO:0008152', 'GO:0016746', 'GO:0016491', 'GO:0006631', 'GO:0006633', 'GO:0009058', 'GO:0004315', 'GO:0003824', 'GO:0004312', 'GO:0031177', 'GO:0008611', 'GO:0009888', 'GO:0030223', 'GO:0030224', 'GO:0030879', 'GO:0071353', 'GO:0090557', 'GO:0005794', 'GO:0005829', 'GO:0005886', 'GO:0042587', 'GO:0004314', 'GO:0002068', 'GO:0016295', 'GO:0016296', 'GO:0004313', 'GO:0004316', 'GO:0004317', 'GO:0004320', 'GO:0008659', 'GO:0008693', 'GO:0016297', 'GO:0016419', 'GO:0019171', 'GO:0047117', 'GO:0047451', 'GO:0006954', 'GO:0044788']", ,2194,FASN,Lipid Metabolism
100760626,Cndp2,carnosine dipeptidase 2,"CNDP2, also known as tissue carnosinase and peptidase A (EC 3.4.13.18), is a nonspecific dipeptidase rather than a selective carnosinase (Teufel et al., 2003 [PubMed 12473676]).[supplied by OMIM, Mar 2008]",ENSCGRG00015015120,ENSCGRG00001022839,XM_003510654,XP_003510702,"['GO:0016787', 'GO:0046872', 'GO:0008233', 'GO:0016805', 'GO:0006508', 'GO:0005654', 'GO:0005829', 'GO:0070573', 'GO:1901564']",G3I692,55748,CNDP2,Amino Acid Metabolism
100763802,Ggt1,gamma-glutamyltransferase 1,"Gamma-glutamyltransferase-1 (GGT1; MIM 612346) is a membrane-bound extracellular enzyme that cleaves gamma-glutamyl peptide bonds in glutathione and other peptides and transfers the gamma-glutamyl moiety to acceptors. Autocatalytic cleavage of the GGT1 precursor polypeptide produces a heavy chain and a light chain that associate with each other to form the functional enzyme. Light chain-only GGTs, such as GGTLC3, contain a region corresponding to the GGT1 light chain, but they lack the membrane-anchoring heavy chain region (Heisterkamp et al., 2008 [PubMed 18357469]).[supplied by OMIM, Oct 2008]",ENSCGRG00015017368,,XM_007648729,XP_007646919,,A0A8C2MVI3,2678,GGT1,Amino Acid Metabolism
100759730,Bbox1,gamma-butyrobetaine hydroxylase 1,"This gene encodes gamma butyrobetaine hydroxylase which catalyzes the formation of L-carnitine from gamma-butyrobetaine, the last step in the L-carnitine biosynthetic pathway. Carnitine is essential for the transport of activated fatty acids across the mitochondrial membrane during mitochondrial beta-oxidation. [provided by RefSeq, Jul 2008]",ENSCGRG00015008135,ENSCGRG00001009712,XM_003506507,XP_003506555,"['GO:0008270', 'GO:0042802', 'GO:0008336', 'GO:0045329', 'GO:0045329', 'GO:0008336', 'GO:0005506', 'GO:0016491']",A0A8C2LR37,8424,BBOX1,Amino Acid Metabolism
100762198,Crat,carnitine O-acetyltransferase,,ENSCGRG00015016296,,XM_003515173,XP_003515221,,G3IL47,1384,CRAT,Lipid Metabolism
100771661,Idh3b,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta,"Isocitrate dehydrogenases catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate. These enzymes belong to two distinct subclasses, one of which utilizes NAD(+) as the electron acceptor and the other NADP(+). Five isocitrate dehydrogenases have been reported: three NAD(+)-dependent isocitrate dehydrogenases, which localize to the mitochondrial matrix, and two NADP(+)-dependent isocitrate dehydrogenases, one of which is mitochondrial and the other predominantly cytosolic. NAD(+)-dependent isocitrate dehydrogenases catalyze the allosterically regulated rate-limiting step of the tricarboxylic acid cycle. Each isozyme is a heterotetramer that is composed of two alpha subunits, one beta subunit, and one gamma subunit. The protein encoded by this gene is the beta subunit of one isozyme of NAD(+)-dependent isocitrate dehydrogenase. Multiple alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Sep 2016]",ENSCGRG00015013657,ENSCGRG00001012059,XM_007637210,XP_007635400,"['GO:0000287', 'GO:0016616', 'GO:0051287', 'GO:0006099', 'GO:0005739', 'GO:0005962']",G3H450,3420,IDH3B,Energy Metabolism
100772225,Aldh2,aldehyde dehydrogenase 2 family member,"This protein belongs to the aldehyde dehydrogenase family of proteins. Aldehyde dehydrogenase is the second enzyme of the major oxidative pathway of alcohol metabolism. Two major liver isoforms of aldehyde dehydrogenase, cytosolic and mitochondrial, can be distinguished by their electrophoretic mobilities, kinetic properties, and subcellular localizations. Most Caucasians have two major isozymes, while approximately 50% of East Asians have the cytosolic isozyme but not the mitochondrial isozyme. A remarkably higher frequency of acute alcohol intoxication among East Asians than among Caucasians could be related to the absence of a catalytically active form of the mitochondrial isozyme. The increased exposure to acetaldehyde in individuals with the catalytically inactive form may also confer greater susceptibility to many types of cancer. This gene encodes a mitochondrial isoform, which has a low Km for acetaldehydes, and is localized in mitochondrial matrix. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Nov 2016]",ENSCGRG00015026537,ENSCGRG00001011135,XM_007627710,XP_007625900,"['GO:0016491', 'GO:0016620', 'GO:0004029', 'GO:1903179', 'GO:1905627', 'GO:0018547', 'GO:0046185']",G3H289,217,ALDH2,Amino Acid Metabolism
100771907,Amdhd2,amidohydrolase domain containing 2,"Enables N-acetylglucosamine-6-phosphate deacetylase activity. Predicted to be involved in N-acetylglucosamine catabolic process. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015012018,ENSCGRG00001017081,XM_027441519,XP_027297320,"['GO:0016787', 'GO:0046872', 'GO:0005975', 'GO:0008448', 'GO:0016810', 'GO:0047419', 'GO:0006044', 'GO:0019262', 'GO:0006040']",A0A061I330,51005,AMDHD2,Carbohydrates Metabolism
100773731,Alg1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,"Predicted to enable mannosyltransferase activity. Predicted to be involved in protein glycosylation. Predicted to be active in endoplasmic reticulum. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015012406,ENSCGRG00001018585,XM_016978506,XP_016833995,"['GO:0000030', 'GO:0016757', 'GO:0000030', 'GO:0016757']",G3HY32,56052,ALG1,Protein Product Synthesis
100760320,Sod2,superoxide dismutase 2,"This gene is a member of the iron/manganese superoxide dismutase family. It encodes a mitochondrial protein that forms a homotetramer and binds one manganese ion per subunit. This protein binds to the superoxide byproducts of oxidative phosphorylation and converts them to hydrogen peroxide and diatomic oxygen. Mutations in this gene have been associated with idiopathic cardiomyopathy (IDC), premature aging, sporadic motor neuron disease, and cancer. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 1. [provided by RefSeq, Apr 2016]",ENSCGRG00015011751,ENSCGRG00001001155,XM_003507569,XP_003507617,"['GO:0005759', 'GO:0004784', 'GO:0030145', 'GO:0051289', 'GO:0042802', 'GO:0006357', 'GO:0005739', 'GO:0008217', 'GO:0001889', 'GO:0007507', 'GO:0006357', 'GO:0030335', 'GO:0042542', 'GO:0008285', 'GO:0009791', 'GO:0007626', 'GO:0000302', 'GO:0000303', 'GO:0001836', 'GO:0003032', 'GO:0003069', 'GO:0006749', 'GO:0006801', 'GO:0006979', 'GO:0007005', 'GO:0008630', 'GO:0008631', 'GO:0008637', 'GO:0010332', 'GO:0014823', 'GO:0019430', 'GO:0022904', 'GO:0030097', 'GO:0042311', 'GO:0042554', 'GO:0045429', 'GO:0045599', 'GO:0048147', 'GO:0048666', 'GO:0048678', 'GO:0048773', 'GO:0050790', 'GO:0051881', 'GO:0055072', 'GO:0055093', 'GO:0016491', 'GO:1902176', 'GO:1904706', 'GO:0006801', 'GO:0043524', 'GO:1905461', 'GO:0004784', 'GO:0006801', 'GO:0046872', 'GO:0032364', 'GO:1905932', 'GO:0034599']", ,6648,SOD2,Energy Metabolism
100769834,Polr1b,RNA polymerase I subunit B,"Eukaryotic RNA polymerase I (pol I) is responsible for the transcription of ribosomal RNA (rRNA) genes and production of rRNA, the primary component of ribosomes. Pol I is a multisubunit enzyme composed of 6 to 14 polypeptides, depending on the species. Most of the mass of the pol I complex derives from the 2 largest subunits, Rpa1 and Rpa2 in yeast. POLR1B is homologous to Rpa2 (Seither and Grummt, 1996 [PubMed 8921381]).[supplied by OMIM, Mar 2008]",ENSCGRG00015014346,ENSCGRG00001014254,XM_003497791,XP_003497839,"['GO:0005694', 'GO:0005829', 'GO:0001650', 'GO:0005634', 'GO:0005730', 'GO:0007566', 'GO:0005736', 'GO:0009303', 'GO:0017126', 'GO:0032549', 'GO:0003899', 'GO:0003677', 'GO:0005634', 'GO:0006351']",A0A8C2M4S2,84172,POLR1B,Energy Metabolism
100774679,Ggct,gamma-glutamylcyclotransferase,"The protein encoded by this gene catalyzes the formation of 5-oxoproline from gamma-glutamyl dipeptides, the penultimate step in glutathione catabolism, and may play a critical role in glutathione homeostasis. The encoded protein may also play a role in cell proliferation, and the expression of this gene is a potential marker for cancer. Pseudogenes of this gene are located on the long arm of chromosome 5 and the short arm of chromosomes 2 and 20. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]",ENSCGRG00015022330,ENSCGRG00001000866,XM_003503928,XP_003503976,"['GO:0016740', 'GO:0016829', 'GO:0003839', 'GO:0042803', 'GO:0001836', 'GO:0005829']",G3HJM5,79017,GGCT,Amino Acid Metabolism
100765223,Pip4k2b,phosphatidylinositol-5-phosphate 4-kinase type 2 beta,"The protein encoded by this gene catalyzes the phosphorylation of phosphatidylinositol-5-phosphate on the fourth hydroxyl of the myo-inositol ring to form phosphatidylinositol-5,4-bisphosphate. This gene is a member of the phosphatidylinositol-5-phosphate 4-kinase family. The encoded protein sequence does not show similarity to other kinases, but the protein does exhibit kinase activity. Additionally, the encoded protein interacts with p55 TNF receptor. [provided by RefSeq, Jul 2008]",ENSCGRG00015016334,ENSCGRG00001013364,XM_027434653,XP_027290454,"['GO:0005524', 'GO:0005525', 'GO:0005634', 'GO:0005654', 'GO:0042803', 'GO:0010506', 'GO:0046627', 'GO:2000786', 'GO:0005776', 'GO:0016308', 'GO:0046488', 'GO:0005886', 'GO:0061909', 'GO:0046488', 'GO:0016307', 'GO:1902635', 'GO:0090217']", ,8396,PIP4K2B,Lipid Metabolism
100771448,LOC100771448,kynureninase,"Kynureninase is a pyridoxal-5'-phosphate (pyridoxal-P) dependent enzyme that catalyzes the cleavage of L-kynurenine and L-3-hydroxykynurenine into anthranilic and 3-hydroxyanthranilic acids, respectively. Kynureninase is involved in the biosynthesis of NAD cofactors from tryptophan through the kynurenine pathway. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2010]",ENSCGRG00015003035,ENSCGRG00001005556,XM_007647989,XP_007646179,"['GO:0005739', 'GO:0006569', 'GO:0005829', 'GO:0009435', 'GO:0019805', 'GO:0043420', 'GO:0042803', 'GO:0034341', 'GO:0005654', 'GO:0030429', 'GO:0061981', 'GO:0034516', 'GO:0006569', 'GO:0009435', 'GO:0030429', 'GO:0030170', 'GO:0005737', 'GO:0003824', 'GO:0006569', 'GO:0009435', 'GO:0030429', 'GO:0030170', 'GO:0005737', 'GO:0003824']", ,8942,KYNU,Amino Acid Metabolism
100757006,Man2a1,mannosidase alpha class 2A member 1,"This gene encodes a glycosyl hydrolase that localizes to the Golgi and catalyzes the final hydrolytic step in the asparagine-linked oligosaccharide (N-glycan) maturation pathway. Mutations in the mouse homolog of this gene have been shown to cause a systemic autoimmune disease similar to human systemic lupus erythematosus. [provided by RefSeq, Dec 2013]",ENSCGRG00015019615,ENSCGRG00001007366,XM_003499367,XP_003499415,"['GO:0005794', 'GO:0001701', 'GO:0001889', 'GO:0005615', 'GO:0007005', 'GO:0007585', 'GO:0048286', 'GO:0060042', 'GO:0005797', 'GO:0050769', 'GO:0006491', 'GO:0007033', 'GO:0015923', 'GO:0016787', 'GO:0016799', 'GO:0000139', 'GO:0005801', 'GO:0006013', 'GO:0004559', 'GO:0030246', 'GO:0005975', 'GO:0003824']",A0A8C2LPL6,4124,MAN2A1,Protein Product Synthesis
100758702,LOC100758702,fatty acyl-CoA reductase 2,"This gene belongs to the short chain dehydrogenase/reductase superfamily. It encodes a reductase enzyme involved in the first step of wax biosynthesis wherein fatty acids are converted to fatty alcohols. The encoded peroxisomal protein utilizes saturated fatty acids of 16 or 18 carbons as preferred substrates. Alternatively spliced transcript variants have been observed for this gene. Related pseudogenes have been identified on chromosomes 2, 14 and 22. [provided by RefSeq, Nov 2012]",ENSCGRG00015003168,ENSCGRG00001000230,XM_035437406,XP_035293297,"['GO:0016020', 'GO:0016491', 'GO:0006629', 'GO:0005778', 'GO:0080019', 'GO:0102965', 'GO:0035336', 'GO:0005777', 'GO:0016620', 'GO:1901568']", ,55711,FAR2,Lipid Metabolism
100761441,Sgpl1,sphingosine-1-phosphate lyase 1,"Enables sphinganine-1-phosphate aldolase activity. Involved in apoptotic signaling pathway; fatty acid metabolic process; and sphingolipid metabolic process. Located in endoplasmic reticulum. Implicated in nephrotic syndrome type 14. [provided by Alliance of Genome Resources, Apr 2022]",ENSCGRG00015006706,ENSCGRG00001016963,XM_027434869,XP_027290670,"['GO:0016020', 'GO:0016829', 'GO:0003824', 'GO:0030170', 'GO:0019752', 'GO:0008117', 'GO:0001553', 'GO:0001570', 'GO:0001822', 'GO:0006631', 'GO:0006672', 'GO:0006807', 'GO:0007283', 'GO:0008209', 'GO:0008210', 'GO:0008585', 'GO:0009791', 'GO:0010761', 'GO:0030097', 'GO:0030149', 'GO:0033327', 'GO:0040014', 'GO:0048008', 'GO:0048705', 'GO:0060021', 'GO:0060325', 'GO:0097190', 'GO:0005783', 'GO:0016830']",G3H6R7,8879,SGPL1,Lipid Metabolism
100767777,Ppox,protoporphyrinogen oxidase,"This gene encodes the penultimate enzyme of heme biosynthesis, which catalyzes the 6-electron oxidation of protoporphyrinogen IX to form protoporphyrin IX. Mutations in this gene cause variegate porphyria, an autosomal dominant disorder of heme metabolism resulting from a deficiency in protoporphyrinogen oxidase, an enzyme located on the inner mitochondrial membrane. Alternatively spliced transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008]",ENSCGRG00015017575,ENSCGRG00001021941,XM_035458697,XP_035314588,"['GO:0016491', 'GO:0005743', 'GO:0006779', 'GO:0006782', 'GO:0004729', 'GO:0006783', 'GO:0031966']",G3HU16,5498,PPOX,Vitamin & Cofactor Metabolism
100751272,Akr1b1,aldo-keto reductase family 1 member B,"This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member catalyzes the reduction of a number of aldehydes, including the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Multiple pseudogenes have been identified for this gene. The nomenclature system used by the HUGO Gene Nomenclature Committee to define human aldo-keto reductase family members is known to differ from that used by the Mouse Genome Informatics database. [provided by RefSeq, Feb 2009]",ENSCGRG00015027059,ENSCGRG00001022690,XM_003503181,XP_003503229,"['GO:0016491', 'GO:0001758', 'GO:0004032', 'GO:0043795', 'GO:0001523', 'GO:0002070', 'GO:0003091', 'GO:0035809', 'GO:0043066', 'GO:0044597', 'GO:0044598', 'GO:0071475', 'GO:0072205', 'GO:0005654', 'GO:0005829', 'GO:0046370', 'GO:0047939', 'GO:0019853']",G3HH30,231,AKR1B1,Carbohydrates Metabolism
100764462,Aldh5a1,aldehyde dehydrogenase 5 family member A1,"This protein belongs to the aldehyde dehydrogenase family of proteins. This gene encodes a mitochondrial NAD(+)-dependent succinic semialdehyde dehydrogenase. A deficiency of this enzyme, known as 4-hydroxybutyricaciduria, is a rare inborn error in the metabolism of the neurotransmitter 4-aminobutyric acid (GABA). In response to the defect, physiologic fluids from patients accumulate GHB, a compound with numerous neuromodulatory properties. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]",ENSCGRG00015005547,ENSCGRG00001013734,XM_003502206,XP_003502254,"['GO:0005739', 'GO:0042802', 'GO:0007417', 'GO:0009791', 'GO:0006105', 'GO:0006536', 'GO:0009448', 'GO:0009450', 'GO:0042135', 'GO:0004777', 'GO:0009450', 'GO:0009450', 'GO:0009013', 'GO:0016620', 'GO:0016491']", ,7915,ALDH5A1,Carbohydrates Metabolism
100771756,Pla2g4b,phospholipase A2 group IVB,"This gene encodes a member of the cytosolic phospholipase A2 protein family. Phospholipase A2 enzymes hydrolyze the sn-2 bond of phospholipids, releasing lysophospholipids and fatty acids. This enzyme may be associated with mitochondria and early endosomes. Most tissues also express read-through transcripts from the upstream gene into this gene, some of which may encode fusion proteins combining the N-terminus of the upstream gene including its JmjC domain with the almost complete coding region of this gene, including the C2 and cytoplasmic phospholipase A2 domains. [provided by RefSeq, Jul 2008]",ENSCGRG00015023000,ENSCGRG00001023403,XM_016968838,XP_016824327,"['GO:0005829', 'GO:0046475', 'GO:0047498', 'GO:0009395', 'GO:0004620']", ,8681,JMJD7-PLA2G4B,Lipid Metabolism
