SYMBOL,ComplexID,ComplexName,Organism,subunits(Entrez.IDs),subunits(Gene.name),subunits(Gene.name.syn),GO.description,FunCat.description
ACTR3,27,Arp2/3 protein complex,Human,10095;10109;10094;10092;10093;10096;10097,ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2,ARC41;ARC34;ARC21;ARC16;ARC20;ARP3;ARP2,Arp2/3 protein complex;regulation of actin filament polymerization,None
ACTR3,6725,ARP3-WHAMM complex,Human,10096;123720,ACTR3;WHAMM,"ARP3;KIAA1971,WHDC1",actin cytoskeleton reorganization,None
AGAP1,990,Agap1-Ap3b1-Ap3m1-Ap3m2-Ap3s2 complex,Mouse,11778;347722;64933;55946;11774,Ap3s2;Agap1;Ap3m2;Ap3m1;Ap3b1,None;Centg2 Kiaa1099;None;None;None,vesicle-mediated transport;endosome,"vesicular transport (Golgi network, etc.);endosome"
AKT1,2156,YBX1-AKT1 complex,Human,207;4904,AKT1;YBX1,"PKB, RAC;NSEP1 YB1",regulation of cell size;nucleus,growth regulators / regulation of cell size;nucleus
AKT1,2159,AR-AKT-APPL complex,Human,367;207;26060,AR;AKT1;APPL1,"DHTR, NR3C4;PKB, RAC;APPL DIP13A KIAA1428",signaling,cellular signalling
AKT1,3847,TCL1(trimer)-AKT1 complex,Human,207;8115,AKT1;TCL1A,"PKB, RAC;TCL1",kinase activator activity,kinase activator
AKT1,5623,AKT1-HSP90AA1-MAP3K5 complex,Bovine,None;280991;281832,MAP3K5; AS;AKT1;HSP90AA1,"None;PKB;HSP90A, HSPCA",None,None
AKT1,5718,"NOS3-HSP90-AKT complex, VEGF induced",Human,3320;4846;207,HSP90AA1;NOS3;AKT1,"HSP90A, HSPC1, HSPCA;eNOS;PKB, RAC",nitric oxide biosynthetic process;regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;cellular response to vascular endothelial growth factor stimulus,nitric oxide biosynthesis;regulation of nitrogen metabolism;NO mediated signal transduction;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis
AKT1,6282,G alpha-13-Hax-1-cortactin-Rac complex,Human,10456;207;2017;10672,HAX1;AKT1;CTTN;GNA13,"HS1BP1;PKB, RAC;EMS1;None",cell migration,cell migration
AKT1,6366,"MCC complex (p85alpha, p110alpha, Akt,14-3-3theta, beta-catenin)",Mouse,18708;11651;18706;22631;12387,Pik3r1;Akt1;Pik3ca;Ywhaz;Ctnnb1,"None;Akt, Rac;;None;Catnb",regulation of inflammatory response,None
AKT1,6521,AKT1-FANCI-FANCD2-PHLPP1-PHLPP2-USP1-WDR48 complex,Human,23239;7398;207;23035;57599;2177;55215,PHLPP1;USP1;AKT1;PHLPP2;WDR48;FANCD2;FANCI,"KIAA0606, PHLPP, PLEKHE1, SCOP;UBP;PKB, RAC;KIAA0931, PHLPPL;KIAA1449, UAF1;FACD;KIAA1794",None,None
AKT1,6809,Arrb2-Akt-Ppp2ca complex,Mouse,11651;19052;216869,Akt1;Ppp2ca;Arrb2,"Akt, Rac;Pp2a;None",protein kinase B signaling;G protein-coupled receptor signaling pathway,G-protein coupled receptor signalling pathway
AKT1,6810,Akt-Arrb2-Ppp2ca-Ppp2r2a complex,Mouse,11651;19052;71978;216869,Akt1;Ppp2ca;Ppp2r2a;Arrb2,"Akt, Rac;Pp2a;None;None",protein kinase B signaling;G protein-coupled receptor signaling pathway,G-protein coupled receptor signalling pathway
AKT1,6813,"Arrb2-Akt-Src complex, insulin induced",Mouse,20779;11651;216869,Src;Akt1;Arrb2,"pp60c-src;Akt, Rac;None",protein kinase B signaling;response to insulin,None
AKT1,6814,"Insr-Arrb2-Akt-Src complex, insulin induced",Mouse,20779;16337;11651;216869,Src;Insr;Akt1;Arrb2,"pp60c-src;None;Akt, Rac;None",protein kinase B signaling;response to insulin;insulin receptor signaling pathway;glucose homeostasis,insulin receptor signalling pathway;glucose homeostasis
AKT1,6929,AKT1-FOXO1-WDFY2 complex,Human,207;2308;115825,AKT1;FOXO1;WDFY2,"PKB, RAC;FKHR, FOXO1A;WDF2,ZFYVE22",positive regulation of adipose tissue development,None
AKT1,7266,AKT1-NQO2 complex,Human,4835;207,NQO2;AKT1,"NMOR2;PKB, RAC",inflammatory response;cell population proliferation;protein kinase B signaling,inflammatory response
AKT1,7406,AKT1-APPL1-HDAC3 complex,Human,8841;207;26060,HDAC3;AKT1;APPL1,"None;PKB, RAC;APPL DIP13A KIAA1428",None,None
AKT1,7692,AKT1-HSPB1-MAPK14-MAPKAPK2 complex,Human,3315;207;9261;1432,HSPB1;AKT1;MAPKAPK2;MAPK14,"HSP27 HSP28;PKB, RAC;None;CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A",signal transduction,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM
AKT1,7693,AKT1-MAPK14-MAPKAPK2 complex,Human,207;9261;1432,AKT1;MAPKAPK2;MAPK14,"PKB, RAC;None;CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A",signal transduction,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM
AKT1,7778,Akt1-Ppp2ca complex,Mouse,11651;19052,Akt1;Ppp2ca,"Akt, Rac;Pp2a",None,None
AKT1,8317,AKT1-CDC37-CDK4-HSPA1A-HSP90AA1-NR3C1-PPP5C-RAF1-TSC1-TSC2 complex,Human,5894;2908;3320;3303;1019;207;7249;5536;11140;7248,RAF1;NR3C1;HSP90AA1;HSPA1A;CDK4;AKT1;TSC2;PPP5C;CDC37;TSC1,"RAF;GRL, GR;HSP90A, HSPC1, HSPCA;HSPA1, HSX70, HSP70-1A;None;PKB, RAC;TSC4;PPP5;CDC37A;KIAA0243, TSC",None,None
AKT1,8334,Aldob-Akt1-Ppp2ca complex,Mouse,11651;19052;230163,Akt1;Ppp2ca;Aldob,"Akt, Rac;Pp2a;Aldo2",None,None
AKT2,3138,POSH-AKT2 complex,Human,208;57630,AKT2;SH3RF1,None;KIAA1494 POSH RNF142 SH3MD2,JNK cascade,JNK cascade
AKT2,3848,TCL1(trimer)-AKT2 complex,Human,208;8115,AKT2;TCL1A,None;TCL1,kinase activator activity,kinase activator
AKT2,8462,Akt2-Appl1 complex,Rat,None;25233,Appl1;Akt2,None;None,insulin secretion,None
AMFR,4977,AMFR-DERL1-VCP complex,Human,7415;79139;267,VCP;DERL1;AMFR,"p97;DER1;RNF45, GP78",proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,proteasomal degradation (ubiquitin/proteasomal pathway);unfolded protein response (e.g. ER quality control);endoplasmic reticulum
AMFR,6866,AMFR-ERLIN2-TMUB1 complex,Human,11160;83590;267,ERLIN2;TMUB1;AMFR,"C8orf2, SPFH2;C7orf21,DULP,HOPS,SB144;RNF45, GP78",ERAD pathway;endoplasmic reticulum,endoplasmic reticulum
AMFR,6867,Amfr-Vcp-Ngly1 complex,Mouse,269523;59007;23802,Vcp;Ngly1;Amfr,p97;PNGase;None,ERAD pathway,None
AMFR,6868,Amfr-Vcp-Ubxn1 complex,Mouse,269523;225896;23802,Vcp;Ubxn1;Amfr,"p97;D19Ertd721e, Saks1, Y33K;None",ERAD pathway,None
AMFR,6870,Amfr-Vcp-Ubxn1-Ngly1-Rad23b complex,Mouse,19359;269523;225896;59007;23802,Rad23b;Vcp;Ubxn1;Ngly1;Amfr,"Mhr23b;p97;D19Ertd721e, Saks1, Y33K;PNGase;None",ERAD pathway,None
AMFR,6871,"AMFR-STING-INSIG1 complex, herpes simplex virus 1 induced",Human,3638;340061;267,INSIG1;STING1;AMFR,"None;ERIS MITA STING TMEM173;RNF45, GP78",ERAD pathway;innate immune response;protein ubiquitination,"innate immune response (invertebrates and vertebrates);modification by ubiquitination, deubiquitination"
AMFR,6873,BAG6-AMFR-FAF2 complex,Human,7917;23197;267,BAG6;FAF2;AMFR,"BAT3, G3;ETEA, KIAA0887, UBXD8, UBXN3B;RNF45, GP78",ER-associated misfolded protein catabolic process;ERAD pathway;endoplasmic reticulum membrane,None
AMFR,7634,AMFR-INSIG1 complex,Hamster,None;100689080,Amfr;INSIG1,None;None,negative regulation of cholesterol biosynthetic process;membrane;proteasomal protein catabolic process,None
AMFR,7635,Amfr-Insig2 complex,Hamster,101834889;None,Insig2;Amfr,None;None,membrane;negative regulation of cholesterol biosynthetic process;proteasomal protein catabolic process,None
AMFR,7636,AMFR-INSIG1-VCP complex,Hamster,7415;100689080;267,VCP;INSIG1;AMFR,"p97;None;RNF45, GP78",membrane;negative regulation of cholesterol biosynthetic process,None
AP1B1,36,AP1 adaptor complex,Human,164;8906;8905;1174;162;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1B1,144,Gamma-BAR-AP1 complex,Human,164;8906;8905;1174;162;55435;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1B1,941,Ap1b1-Ap1g1-Arf1 complex,Rat,171494;29663;64310,Ap1g1;Ap1b1;Arf1,None;Adtb1;None,protein binding;vesicle-mediated transport,"protein binding;vesicular transport (Golgi network, etc.)"
AP1B1,952,Ap1b1-Ap1g1-Ap1m1-Kif13a complex,Mouse,11764;11765;11767;16553,Ap1b1;Ap1g1;Ap1m1;Kif13a,Adtb1;Adtg Clapg1;Cltnm;None,protein transport;vesicle-mediated transport;protein transporter activity,"protein transport;vesicular transport (Golgi network, etc.)"
AP1B1,7476,AP1B1-AP1G2-AP1M1-AP1S1 complex,Human,8906;1174;162;8907,AP1G2;AP1S1;AP1B1;AP1M1,None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;CLTNM,vesicle-mediated transport,"vesicular transport (Golgi network, etc.)"
AP1G1,36,AP1 adaptor complex,Human,164;8906;8905;1174;162;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1G1,144,Gamma-BAR-AP1 complex,Human,164;8906;8905;1174;162;55435;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1G1,941,Ap1b1-Ap1g1-Arf1 complex,Rat,171494;29663;64310,Ap1g1;Ap1b1;Arf1,None;Adtb1;None,protein binding;vesicle-mediated transport,"protein binding;vesicular transport (Golgi network, etc.)"
AP1G1,952,Ap1b1-Ap1g1-Ap1m1-Kif13a complex,Mouse,11764;11765;11767;16553,Ap1b1;Ap1g1;Ap1m1;Kif13a,Adtb1;Adtg Clapg1;Cltnm;None,protein transport;vesicle-mediated transport;protein transporter activity,"protein transport;vesicular transport (Golgi network, etc.)"
AP1G1,1090,AP1G1-RABEP1 complex,Human,164;9135,AP1G1;RABEP1,"ADTG CLAPG1;RABAPTIN-5, RAB5EP, RABPT5, RABPT5A",vesicle-mediated transport;trans-Golgi network,"vesicular transport (Golgi network, etc.)"
AP1G1,5165,AP1G1-PACS1-FURIN complex,Human,164;5045;55690,AP1G1;FURIN;PACS1,ADTG CLAPG1;FUR PACE PCSK3;KIAA1175,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.)"
AP1G1,6252,Ap1g1-Ap1s1-Rabep1 complex,Mouse,54189;11765;11769,Rabep1;Ap1g1;Ap1s1,Rab5ep Rabpt5 Rabpt5a;Adtg Clapg1;Ap19,recycling endosome membrane,None
AP1G1,7315,Ap1g1-Ap2a2-Dcx complex,Mouse,13193;11772;11765,Dcx;Ap2a2;Ap1g1,Dcn;Adtab;Adtg Clapg1,neuron migration,None
AP1G1,8348,AP1G1-LZTFL1-TFRC complex,Human,164;7037;54585,AP1G1;TFRC;LZTFL1,ADTG CLAPG1;None;None,intracellular protein transport;perinuclear region of cytoplasm,"protein targeting, sorting and translocation"
AP1M1,36,AP1 adaptor complex,Human,164;8906;8905;1174;162;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1M1,144,Gamma-BAR-AP1 complex,Human,164;8906;8905;1174;162;55435;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1M1,952,Ap1b1-Ap1g1-Ap1m1-Kif13a complex,Mouse,11764;11765;11767;16553,Ap1b1;Ap1g1;Ap1m1;Kif13a,Adtb1;Adtg Clapg1;Cltnm;None,protein transport;vesicle-mediated transport;protein transporter activity,"protein transport;vesicular transport (Golgi network, etc.)"
AP1M1,7476,AP1B1-AP1G2-AP1M1-AP1S1 complex,Human,8906;1174;162;8907,AP1G2;AP1S1;AP1B1;AP1M1,None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;CLTNM,vesicle-mediated transport,"vesicular transport (Golgi network, etc.)"
AP1M2,36,AP1 adaptor complex,Human,164;8906;8905;1174;162;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1M2,144,Gamma-BAR-AP1 complex,Human,164;8906;8905;1174;162;55435;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1S1,36,AP1 adaptor complex,Human,164;8906;8905;1174;162;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1S1,144,Gamma-BAR-AP1 complex,Human,164;8906;8905;1174;162;55435;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1S1,6252,Ap1g1-Ap1s1-Rabep1 complex,Mouse,54189;11765;11769,Rabep1;Ap1g1;Ap1s1,Rab5ep Rabpt5 Rabpt5a;Adtg Clapg1;Ap19,recycling endosome membrane,None
AP1S1,7476,AP1B1-AP1G2-AP1M1-AP1S1 complex,Human,8906;1174;162;8907,AP1G2;AP1S1;AP1B1;AP1M1,None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;CLTNM,vesicle-mediated transport,"vesicular transport (Golgi network, etc.)"
AP1S2,36,AP1 adaptor complex,Human,164;8906;8905;1174;162;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP1S2,144,Gamma-BAR-AP1 complex,Human,164;8906;8905;1174;162;55435;130340;8907;10053,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2,ADTG CLAPG1;None;None;AP19 CLAPS1;ADTB1 BAM22 CLAPB2;C4orf16;None;CLTNM;None,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"
AP3B1,59,AP3 adaptor complex,Human,8546;8943;10947;10239;8120;1176;26985,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,ADTB3A;None;None;None;None;CLAPS3;None,intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport,"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome;vesicular transport (Golgi network, etc.)"
AP3B1,652,AP3-BLOC1 complex,Human,8546;8943;23557;2647;388552;282991;63915;1176;84062;55330;26258;26985,AP3B1;AP3D1;SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;AP3S1;DTNBP1;BLOC1S4;BLOC1S6;AP3M1,"ADTB3A;None;BLOC1S7 SNAP25BP SNAPAP;BLOS1 GCN5L1 RT14;BLOS3;BLOS2 CEAP;MUTED;CLAPS3;BLOC1S8;CNO;PA, PLDN;None","clathrin-coated vesicle cargo loading, AP-3-mediated;regulation of vesicle-mediated transport;melanosome organization",None
AP3B1,990,Agap1-Ap3b1-Ap3m1-Ap3m2-Ap3s2 complex,Mouse,11778;347722;64933;55946;11774,Ap3s2;Agap1;Ap3m2;Ap3m1;Ap3b1,None;Centg2 Kiaa1099;None;None;None,vesicle-mediated transport;endosome,"vesicular transport (Golgi network, etc.);endosome"
AP3B1,6671,PI4K2A-WASH complex,Human,8546;4734;832;1785;829;1213;9897;23325;23307;387680;9138;9181;85440;55361,AP3B1;NEDD4;CAPZB;DNM2;CAPZA1;CLTC;WASHC5;WASHC4;FKBP15;WASHC2A;ARHGEF1;ARHGEF2;DOCK7;PI4K2A,"ADTB3A;KIAA0093, PIG53;CAPB, CAPPB, CAPZ;DYN2;CAPPA1, CAPZ, CAZ1;CLH17, CLTCL2, KIAA0034, CHC;KIAA0196;KIAA1033;KIAA0674, FKBP133, PPP1R76;FAM21A FAM21B;None;KIAA0651, LFP40, GEF-H1, GEFH1;KIAA1771, EIEE23, ZIR2;PI4KII, PIK42A",early endosome;WASH complex,None
AP3B2,59,AP3 adaptor complex,Human,8546;8943;10947;10239;8120;1176;26985,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,ADTB3A;None;None;None;None;CLAPS3;None,intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport,"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome;vesicular transport (Golgi network, etc.)"
AP3D1,59,AP3 adaptor complex,Human,8546;8943;10947;10239;8120;1176;26985,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,ADTB3A;None;None;None;None;CLAPS3;None,intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport,"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome;vesicular transport (Golgi network, etc.)"
AP3D1,652,AP3-BLOC1 complex,Human,8546;8943;23557;2647;388552;282991;63915;1176;84062;55330;26258;26985,AP3B1;AP3D1;SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;AP3S1;DTNBP1;BLOC1S4;BLOC1S6;AP3M1,"ADTB3A;None;BLOC1S7 SNAP25BP SNAPAP;BLOS1 GCN5L1 RT14;BLOS3;BLOS2 CEAP;MUTED;CLAPS3;BLOC1S8;CNO;PA, PLDN;None","clathrin-coated vesicle cargo loading, AP-3-mediated;regulation of vesicle-mediated transport;melanosome organization",None
AP3D1,2307,AP3D1-AP3S2 complex,Human,8943;10239,AP3D1;AP3S2,None;None,intracellular protein transport;protein targeting;protein transport,"protein targeting, sorting and translocation;protein transport"
AP3D1,2308,AP3D1-AP3S1 complex,Human,8943;1176,AP3D1;AP3S1,None;CLAPS3,intracellular protein transport;protein targeting;protein transport,"protein targeting, sorting and translocation;protein transport"
AP3D1,6195,Stargazin-AP-2-AP-3a complex,Human,8943;160;10369,AP3D1;AP2A1;CACNG2,None;ADTAA CLAPA1;None,regulation of AMPA receptor activity,None
AP3D1,8450,AP-3-KIF3A-RAB4A-RBSN complex,Human,8943;5867;1176;64145;11127,AP3D1;RAB4A;AP3S1;RBSN;KIF3A,None;RAB4;CLAPS3;ZFYVE20;KIF3,None,None
AP3M1,59,AP3 adaptor complex,Human,8546;8943;10947;10239;8120;1176;26985,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,ADTB3A;None;None;None;None;CLAPS3;None,intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport,"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome;vesicular transport (Golgi network, etc.)"
AP3M1,652,AP3-BLOC1 complex,Human,8546;8943;23557;2647;388552;282991;63915;1176;84062;55330;26258;26985,AP3B1;AP3D1;SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;AP3S1;DTNBP1;BLOC1S4;BLOC1S6;AP3M1,"ADTB3A;None;BLOC1S7 SNAP25BP SNAPAP;BLOS1 GCN5L1 RT14;BLOS3;BLOS2 CEAP;MUTED;CLAPS3;BLOC1S8;CNO;PA, PLDN;None","clathrin-coated vesicle cargo loading, AP-3-mediated;regulation of vesicle-mediated transport;melanosome organization",None
AP3M1,990,Agap1-Ap3b1-Ap3m1-Ap3m2-Ap3s2 complex,Mouse,11778;347722;64933;55946;11774,Ap3s2;Agap1;Ap3m2;Ap3m1;Ap3b1,None;Centg2 Kiaa1099;None;None;None,vesicle-mediated transport;endosome,"vesicular transport (Golgi network, etc.);endosome"
AP3M2,59,AP3 adaptor complex,Human,8546;8943;10947;10239;8120;1176;26985,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,ADTB3A;None;None;None;None;CLAPS3;None,intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport,"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome;vesicular transport (Golgi network, etc.)"
