ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
COP9 signalosome complex,26754;26572;26891;26893;12848;108679;209318;26894,GO:0008180,COP9 signalosome,,,,Cops5;Cops3;Cops4;Cops6;Cops2;Cops8;Gps1;Cops7a
RAB5A-RABEP1-RABGEF complex,5868;9135;27342,GO:0006897;GO:0061025;GO:0034058,endocytosis;membrane fusion;endosomal vesicle fusion,20.09.18.09.01,endocytosis,"The Rab5-binding protein, Rabex-5, forms a tight physical complex with Rabaptin-5, and this complex is required for both the homotypic and heterotypic endosome fusion.",RAB5A;RABEP1;RABGEF1
CCT complex (chaperonin containing TCP1 complex),21454;12469;12468;12461;12464;12465;None;12462,GO:0050821;GO:0006457;GO:0005524;GO:0005737,protein stabilization;protein folding;ATP binding;cytoplasm,14.01;16.19.03;70.03,protein folding and stabilization;ATP binding;cytoplasm,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. Sequence analysis of the TriC subunits was shown in PMID:2377466, PMID:7953530 and PMID:7890169.",Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3
AP3 adaptor complex,8546;8943;10947;10239;8120;1176;26985,GO:0006886;GO:0006605;GO:0015031;GO:0006892;GO:0006897;GO:0005773;GO:0005764;GO:0016192,intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome;vesicle-mediated transport,14.04;20.01.10;20.09.07.06;20.09.18.09.01;70.25;20.09.07,"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome;vesicular transport (Golgi network, etc.)",,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1
TRAP complex,9282;9862;7067;5469;9968;9440;9967;10025,GO:0045893;GO:0030545;GO:0009755;GO:0023052;GO:0005634,"positive regulation of transcription, DNA-templated;signaling receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus",11.02.03.04.01;18.02.07;30.01.09.08;30.01;70.10,transcription activation;regulator of receptor activity;hormone mediated signal transduction;cellular signalling;nucleus,"The human thyroid hormone receptor-associated protein (TRAP) complex is a coactivator for nuclear receptors. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.",MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16
HOMER3-IP3R-TRPC1 complex,7220;3710;9454,GO:0008324;GO:0006812;GO:0005216;GO:0023052;GO:0005886,cation transmembrane transporter activity;cation transport;ion channel activity;signaling;plasma membrane,20.01.01.01;20.03.01.01;30.01;70.02,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;cellular signalling;eukaryotic plasma membrane / membrane attached","An adaptor protein, termed Homer, facilitates a physical association between TRPC1 and the IP(3)R that is required for the TRP channel to respond to signals. The TRPC1-Homer-IP(3)R complex is dynamic and its disassembly parallels TRPC1 channel activation. Homer's action depends on its ability to crosslink and is blocked by the dominant-negative immediate early gene form, H1a. Since H1a is transcriptionally regulated by cellular activity, this mechanism can affect both short and long-term regulation of TRPC1 function. TRPC1 is present at the plasma membrane.",TRPC1;ITPR3;HOMER3
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",9978;6500;9820;26259,,,,,Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.,RBX1;SKP1;CUL7;FBXW8
Nup 107-160 subcomplex,4928;6396;57122;23279;348995;79023;55746;81929;79902,GO:0015031;GO:0051169;GO:0000775,"protein transport;nuclear transport;chromosome, centromeric region",20.01.10;20.09.01;70.10.04,protein transport;nuclear transport;centromere / kinetochore,"All trafficking of macromolecules between the cytoplasm and the nucleus occurs through nuclear pore complexes (NPCs), which are supramolecular assemblies at points of fusion between the inner and outer nuclear membranes. NPCs are composed of an eightfold symmetric spoke-ring complex, cytoplasmic fibers, and a nuclear basket.",NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85
p300-MDM2-p53 protein complex,7157;4193;2033,GO:2001141;GO:0006355;GO:0030234;GO:0050790;GO:0005634,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme regulator activity;regulation of catalytic activity;nucleus",11.02.03.04;18.02.01;70.10,transcriptional control;enzymatic activity regulation / enzyme regulator;nucleus,,TP53;MDM2;EP300
"Polycomb repressive complex 1 (PRC1, hPRC-H)",8535;8467;3303;648;1911;6015;84733;1912;80012;22955;6045;57332,GO:0006265;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;11.02;14.07.09;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus","Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the M33F and Bmi1F M2 eluates. The identified beta-tubulin may be a contaminant, it needs more characterization.",CBX4;SMARCA5;HSPA1A;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8
"Polycomb repressive complex 1 (PRC1, hPRC-H)",8535;8467;3303;7528;648;1911;6015;84733;1912;80012;22955;6045;57332,GO:0006265;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;11.02;14.07.09;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus","Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones. hPRC-H apparently represents not a single complex but rather a mixture of highly related complexes, here exemplified by the Hi-Trap S eluate. The identified beta-tubulin may be a contaminant, it needs more characterization.",CBX4;SMARCA5;HSPA1A;YY1;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8
GPI-GnT activity complex,5277;5283;5279;9091,GO:0006644;GO:0008654;GO:0009395;GO:0005783,phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;endoplasmic reticulum,01.06.02.01;70.07,phospholipid metabolism;endoplasmic reticulum,This protein complex has GPI-GlcNAc transferase (GPI-GnT) activity in vitro.,PIGA;PIGH;PIGC;PIGQ
CCT complex (chaperonin containing TCP1 complex),6950;908;22948;7203;10694;10575;10576;10574,GO:0050821;GO:0006457;GO:0005524;GO:0005737,protein stabilization;protein folding;ATP binding;cytoplasm,14.01;16.19.03;70.03,protein folding and stabilization;ATP binding;cytoplasm,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT.",TCP1;CCT6A;CCT5;CCT3;CCT8;CCT4;CCT2;CCT7
Gamma-BAR-AP1 complex,164;8906;8905;1174;162;55435;130340;8907;10053,GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133,intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;vesicle budding from membrane;vesicle organization;endocytosis;transport vesicle,14.04;20.01.10;20.09.07;20.09.07.25;20.09.18.09.01;70.09,"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles",The isolation of AP1 adaptor complex was described in (PMID:9733768).,AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2
Retrotranslocation complex,50628;84447;79139,GO:0015031;GO:0140318,protein transport;protein transporter activity,2010-01-20 00:00:00,protein transport,,GEMIN4;SYVN1;DERL1
COG complex,91949;22796;9382;83548;84342;25839;10466;57511,GO:0006486;GO:0007030;GO:0005794;GO:0017119;GO:0016192,protein glycosylation;Golgi organization;Golgi apparatus;Golgi transport complex;vesicle-mediated transport,14.07.02;42.08;70.08;20.09.07,"modification with sugar residues (e.g. glycosylation, deglycosylation);Golgi;Golgi;vesicular transport (Golgi network, etc.)","The Golgi transport complex (GTC), identified in an in vitro membrane transport assay, (b) the ldlCp complex, identified in analyses of CHO cell mutants with defects in Golgi-associated glycosylation reactions, and (c) the mammalian Sec34 complex, identified by homology to yeast Sec34p, implicated in vesicular transport, are shown to be identical. They are renamed conserved oligomeric Golgi (COG) complex by the authors.",COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6
26S proteasome,5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719,GO:0043161;GO:0006511;GO:0005515;GO:0006950;GO:0005737;GO:0005634,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus,14.13.01.01;16.01;32.01;70.03;70.10,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13
PA28-20S proteasome,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,14.07.11;14.13.01.01;32.01;70.03;70.10,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2
PA700-20S-PA28 complex,5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719,GO:0043161;GO:0005515;GO:0016504,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,14.13.01.01;16.01;18.02.01.01.03,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13
PA28gamma-20S proteasome,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;10197;5695,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,14.07.11;14.13.01.01;32.01;70.03;70.10,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7
"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",7428;9978;8453;6921;6923,GO:0016567;GO:0005515;GO:0006511,protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process,14.07.05;16.01;14.13.01.01,"modification by ubiquitination, deubiquitination;protein binding;proteasomal degradation (ubiquitin/proteasomal pathway)",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.,VHL;RBX1;CUL2;ELOC;ELOB
"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)",9978;6921;6923;8065;26118,GO:0016567;GO:0043161;GO:0006511;GO:0005515;GO:0007224;GO:0005783,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;smoothened signaling pathway;endoplasmic reticulum,14.07.05;14.13.01.01;16.01;30.05.02.16;70.07,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;hedgehog-dependent signalling pathway;endoplasmic reticulum",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. WSB-1 is a Hedgehog-inducible ubiquitin ligase that modulates thyroid hormone activation and PTHrP secretion in the developing growth plate.,RBX1;ELOC;ELOB;CUL5;WSB1
CAND1-CUL1-RBX1 complex,9978;8454;55832,GO:0005515;GO:0010265;GO:0051444,protein binding;SCF complex assembly;negative regulation of ubiquitin-protein transferase activity,2022-01-16 00:00:00,protein binding,"Cand1 forms a tight complex with the Cul1-Roc1 SCF catalytic core, inhibiting the assembly of the multisubunit E3 protein-ubiquitin ligase complex.The crystal structure of the Cand1-Cul1-Roc1 ternary complex reveals the detailed mechanisms of how Cand1 participates in regulating the assembly and disassembly of the SCF ubiquitin ligase complex.",RBX1;CUL1;CAND1
CAND1-CUL2-RBX1 complex,9978;8453;55832,GO:0010265;GO:0051444,SCF complex assembly;negative regulation of ubiquitin-protein transferase activity,,,Binding of Cand1 to cullins inhibits the formation of E3 protein-ubiquitin ligases.,RBX1;CUL2;CAND1
CAND1-CUL3-RBX1 complex,9978;8452;55832,GO:0010265;GO:0051444,SCF complex assembly;negative regulation of ubiquitin-protein transferase activity,,,Binding of Cand1 to cullins inhibits the formation of E3 protein-ubiquitin ligases.,RBX1;CUL3;CAND1
CAND1-CUL4A-RBX1 complex,9978;8451;55832,GO:0010265;GO:0051444,SCF complex assembly;negative regulation of ubiquitin-protein transferase activity,,,Binding of Cand1 to cullins inhibits the formation of E3 protein-ubiquitin ligases.,RBX1;CUL4A;CAND1
CAND1-CUL4B-RBX1 complex,9978;8450;55832,GO:0010265;GO:0051444,SCF complex assembly;negative regulation of ubiquitin-protein transferase activity,,,Binding of Cand1 to cullins inhibits the formation of E3 protein-ubiquitin ligases.,RBX1;CUL4B;CAND1
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)",6500;6502;8454,GO:0016567;GO:0005515;GO:0006511,protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process,14.07.05;16.01;14.13.01.01,"modification by ubiquitination, deubiquitination;protein binding;proteasomal degradation (ubiquitin/proteasomal pathway)",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.,SKP1;SKP2;CUL1
"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)",6500;8454;8945,GO:0016567;GO:0043161;GO:0045087;GO:0051607;GO:0043123;GO:0051092;GO:0019048,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;innate immune response;defense response to virus;positive regulation of I-kappaB kinase/NF-kappaB signaling;positive regulation of NF-kappaB transcription factor activity;modulation by virus of host process,14.07.05;14.13.01.01;36.25.16.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);innate immune response (invertebrates and vertebrates)","The SKP1A-BTRC-CUL1 complex is responsible for proteasome-mediated degradation of IkappB(alpha) required for NFkappB activation (PMID:9990852). The complex plays essential roles in a variety of biological processes, including also innate immune response. Viruses have evolved several strategies to evade the immune system of the host. Infection with porcine rotavirus strain OSU leads to inhibition of  NFkappaB activation by inducing proteasome-dependent degradation of BTRC protein leading to impaired SKP1A-BTRC-CUL1 complex formation. (PMID: 19180189)",SKP1;CUL1;BTRC
RalBP1-CDC2-CCNB1 complex,983;891;10928,GO:0000278;GO:0006468;GO:0005634,mitotic cell cycle;protein phosphorylation;nucleus,10.03.01.01;14.07.03;70.10,"mitotic cell cycle;modification by phosphorylation, dephosphorylation, autophosphorylation;nucleus",The complex was only detected in mitotic cell extracts. The authors show that RLIP76 associates with a catalytically active cyclinB\u00b7p34cdc2(cdk1) complex.,CDK1;CCNB1;RALBP1
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex,160;891;8650;10928;29924,GO:0000278;GO:0006897;GO:0005634,mitotic cell cycle;endocytosis;nucleus,10.03.01.01;20.09.18.09.01;70.10,mitotic cell cycle;endocytosis;nucleus,"RLIP, an effector of the RAL GTPases, is important for the mitotic cdk1 to facilitate the phosphorylation of Epsin.",AP2A1;CCNB1;NUMB;RALBP1;EPN1
Caspase-2-TRAF2-RIP1 complex,12366;22030;19765,GO:0000165;GO:0007249,MAPK cascade;I-kappaB kinase/NF-kappaB signaling,30.01.05.01.03;30.01.05.01.04,MAPKKK cascade;NIK-I-kappaB/NF-kappaB cascade,This complex activates NF-kappaB and p38 MAPK through the caspase recruitment domain of caspase-2 independently of its proteolytic activity.,Casp2;Traf2;Ralbp1
HMGB1-HMGB2-HSC70-ERP60-GAPDH complex,2597;3146;3312;3148;2923,GO:0006281;GO:0003677;GO:0006974;GO:0005634,DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus,10.01.05.01;16.03.01;32.01.09;70.10,DNA repair;DNA binding;DNA damage response;nucleus,"The protein/DNA complex was isolated from human leukemia cells deficient in components of the mismatch repair system (Nalm6). This complex detects changes in DNA structure caused by incorporation of nonnatural nucleosides and is a determinant of cell sensitivity to such DNA modifying chemotherapy. The authors show that murine fibroblasts deficient in one component of the complex, Hmgb1, are 10-fold more resistant to thiopurine treatment than their wild-type counterparts.",GAPDH;HMGB1;HSPA8;HMGB2;PDIA3
